cuisine,restaurant_count,avg_rating,avg_cost
North Indian,1943,3.4372619660319095,573.4431291816778
South Indian,841,3.449821640903686,325.1474435196195
Chinese,455,3.5136263736263738,549.5604395604396
Cafe,449,3.709576837416481,593.9866369710468
Biryani,408,3.345833333333333,407.62254901960785
Fast Food,395,3.3837974683544303,302.9113924050633
Continental,253,3.813043478260869,1114.6245059288538
Bakery,235,3.4957446808510637,367.1063829787234
Desserts,209,3.607177033492823,366.7464114832536
Andhra,193,3.4362694300518135,527.5647668393782
Beverages,149,3.4671140939597316,246.84563758389262
Kerala,135,3.464444444444444,405.55555555555554
Street Food,134,3.503731343283582,224.47761194029852
Finger Food,89,3.753932584269663,1485.9550561797753
Mithai,87,3.4724137931034487,227.58620689655172
Ice Cream,85,3.488235294117647,264.2352941176471
Italian,80,3.81875,1085.5
Arabian,67,3.47910447761194,517.9104477611941
Bengali,66,3.4439393939393943,434.8484848484849
Pizza,63,3.4206349206349205,551.5873015873016
Seafood,56,3.7160714285714285,751.7857142857143
Asian,56,3.939285714285714,1244.642857142857
American,54,3.97962962962963,1200.9259259259259
Juices,52,3.375,187.5
Healthy Food,48,3.5520833333333335,467.7083333333333
Mughlai,42,3.5047619047619043,615.4761904761905
Burger,39,3.5025641025641026,455.12820512820514
Mangalorean,34,3.658823529411765,666.1764705882352
Rolls,30,3.4099999999999997,253.33333333333334
European,23,4.121739130434783,1886.9565217391305
Hyderabadi,21,3.3714285714285714,554.7619047619048
Bbq,19,3.857894736842105,892.1052631578947
Tibetan,17,3.6941176470588233,382.3529411764706
Thai,16,3.95625,1334.375
Mediterranean,16,4.00625,1362.5
Japanese,16,4.1125,1962.5
Mexican,15,3.4,725.3333333333334
Chettinad,15,3.5266666666666664,610.0
Salad,15,3.7,690.0
Modern Indian,13,4.246153846153846,1526.923076923077
Maharashtrian,13,3.4923076923076923,365.38461538461536
Rajasthani,13,3.8230769230769233,576.9230769230769
Kebab,12,3.4333333333333336,325.0
Oriya,11,3.6090909090909093,400.0
Lebanese,10,3.7299999999999995,825.0
Sandwich,10,3.4799999999999995,270.0
Goan,8,3.9,993.75
Korean,7,4.142857142857143,1171.4285714285713
Bihari,7,3.3714285714285714,271.42857142857144
Tea,6,3.4333333333333336,241.66666666666666
North Eastern,6,3.65,533.3333333333334
Momos,5,3.38,320.0
Vietnamese,5,4.26,1400.0
Konkan,4,4.1,912.5
Turkish,4,3.55,325.0
Bar Food,4,3.175,1700.0
Steak,4,4.025,1900.0
Tamil,3,3.3333333333333335,266.6666666666667
Spanish,3,4.233333333333333,2233.3333333333335
French,3,4.266666666666667,2483.3333333333335
Malaysian,2,4.45,1400.0
Lucknowi,2,3.55,500.0
Assamese,2,3.6,450.0
Kashmiri,2,3.6,850.0
Gujarati,2,3.5,200.0
Awadhi,2,3.85,850.0
Burmese,2,3.85,450.0
Sushi,2,4.4,2000.0
Coffee,2,3.9,350.0
Middle Eastern,1,4.4,300.0
South American,1,4.1,1100.0
Australian,1,3.8,400.0
Bohri,1,3.5,300.0
Charcoal Chicken,1,2.8,1000.0
Singaporean,1,4.3,1500.0
British,1,4.2,1600.0
Russian,1,4.2,1300.0
Roast Chicken,1,3.7,400.0
Portuguese,1,4.1,1200.0
German,1,4.3,1800.0
Parsi,1,4.4,1300.0
Iranian,1,3.7,800.0
Nepalese,1,4.2,800.0
Naga,1,4.0,550.0
African,1,4.5,1000.0
