restaurant_name,rating,avg_cost,area,primary_cuisine,cluster_name
#Feeltheroll,3.4,200.0,Bellandur,Fast Food,Budget-Friendly
#L-81 Cafe,3.9,400.0,"Byresandra,Tavarekere,Madiwala",Fast Food,Mid-Range
#Refuel,3.7,400.0,Bannerghatta Road,Cafe,Mid-Range
'@ Biryani Central,2.7,550.0,Marathahalli,Biryani,Luxury Premium
'@ The Bbq,2.8,700.0,Bellandur,Bbq,Luxury Premium
'@99,3.4,200.0,Whitefield,Mughlai,Budget-Friendly
'@Italy,4.1,700.0,Banashankari,Italian,Luxury Premium
'@North Parontha Hut,2.8,300.0,Indiranagar,North Indian,Budget-Friendly
1000 B.C,3.2,300.0,"Byresandra,Tavarekere,Madiwala",Arabian,Budget-Friendly
100Ƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚°C,3.7,450.0,"Byresandra,Tavarekere,Madiwala",Biryani,Luxury Premium
11 To 11 Express Biriyanis,3.5,300.0,Electronic City,Biryani,Budget-Friendly
1131 Bar + Kitchen,4.4,1500.0,Old Airport Road,Continental,Luxury Premium
12Th Main - Grand Mercure,4.1,2000.0,"Byresandra,Tavarekere,Madiwala",European,Luxury Premium
1441 Pizzeria,4.1,800.0,Basavanagudi,Pizza,Luxury Premium
1522 - The Pub,4.2,1400.0,Malleshwaram,Chinese,Luxury Premium
154 Breakfast Club,4.0,900.0,"Byresandra,Tavarekere,Madiwala",Cafe,Luxury Premium
1722 Urban Bistro,4.1,600.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
18+ Ice Cafe,3.5,550.0,Kalyan Nagar,Cafe,Luxury Premium
1947,3.9,1000.0,Rajajinagar,North Indian,Luxury Premium
1980S Games Cafe,3.4,400.0,Banashankari,Cafe,Mid-Range
1992 Chats - Space,3.7,200.0,Malleshwaram,Street Food,Budget-Friendly
1Q1,4.3,2500.0,Brigade Road,Asian,Luxury Premium
1To3 Kitchen,3.1,800.0,Marathahalli,North Indian,Luxury Premium
2 Statez,3.7,600.0,Kalyan Nagar,Kerala,Luxury Premium
20 Char - Sterlings Mac Hotel,4.0,1400.0,Indiranagar,Chinese,Luxury Premium
20 Feet High,4.0,1000.0,Brigade Road,American,Luxury Premium
21 C - La Marvella Sarovar Premiere Hotel,3.6,1000.0,Basavanagudi,Continental,Luxury Premium
24 Carats - The Capitol,3.1,1000.0,Brigade Road,Asian,Luxury Premium
24 Hours Cake Delivery,3.3,700.0,Indiranagar,Bakery,Luxury Premium
24 Hours Coffee Drop - La Classic,3.4,800.0,Electronic City,Cafe,Luxury Premium
24/7 - The Lalit Ashok Bangalore,4.0,3000.0,Malleshwaram,Continental,Luxury Premium
24/7 Food Service,2.9,300.0,"Byresandra,Tavarekere,Madiwala",South Indian,Budget-Friendly
24@43 - The Oterra,4.1,3000.0,Electronic City,North Indian,Luxury Premium
24Th Main,4.1,800.0,Bannerghatta Road,North Indian,Luxury Premium
29 Degrees North,3.9,250.0,Kalyan Nagar,North Indian,Budget-Friendly
2Nd Home Restaurant,3.7,500.0,"Byresandra,Tavarekere,Madiwala",South Indian,Luxury Premium
3 Leafs,3.7,600.0,Marathahalli,North Indian,Luxury Premium
3 Spice,3.9,450.0,Koramangala 7Th Block,North Indian,Luxury Premium
30 Square,4.2,400.0,"Byresandra,Tavarekere,Madiwala",Tibetan,Mid-Range
360 Atoms Restaurant And Cafe,3.1,400.0,Banashankari,Cafe,Mid-Range
36Th Cross Coffee Mane,3.7,500.0,Jp Nagar,North Indian,Luxury Premium
37 China Town,3.5,900.0,Lavelle Road,Chinese,Luxury Premium
"3B'S - Buddies, Bar & Barbecues",4.4,1100.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
3G'S - Gulp & Groove,4.1,1100.0,Malleshwaram,Finger Food,Luxury Premium
3Rd Innings,3.0,1000.0,Electronic City,Burger,Luxury Premium
4 Mangoes,3.7,200.0,Indiranagar,Ice Cream,Budget-Friendly
4 Seasons Restaurant,3.7,1000.0,Kalyan Nagar,North Indian,Luxury Premium
4 States,3.2,400.0,Sarjapur Road,South Indian,Mid-Range
46 Ounces Brewgarden,2.8,1600.0,Electronic City,Bar Food,Luxury Premium
4700Bc Popcorn,4.1,500.0,Whitefield,Fast Food,Luxury Premium
4Foodiez,3.6,300.0,Electronic City,South Indian,Budget-Friendly
4Foodiez - The Restaurant,3.0,400.0,Electronic City,Street Food,Mid-Range
4K Biryani,3.3,700.0,Hsr,North Indian,Luxury Premium
4Th Tea Block,4.0,150.0,Basavanagudi,Cafe,Budget-Friendly
5 Star Food,2.8,300.0,Frazer Town,South Indian,Budget-Friendly
50-50 Eating House,3.2,100.0,Banashankari,South Indian,Budget-Friendly
52 Wall Street,3.9,1400.0,"Byresandra,Tavarekere,Madiwala",American,Luxury Premium
55 Wall Street,3.9,1300.0,Bannerghatta Road,Finger Food,Luxury Premium
56 Bhoga Sweets,3.6,150.0,Hsr,Mithai,Budget-Friendly
5Th Main Cafe,3.5,250.0,"Byresandra,Tavarekere,Madiwala",Cafe,Budget-Friendly
7 Days Restaurant,3.8,400.0,Electronic City,North Indian,Mid-Range
7 Degrees North,3.5,500.0,Hsr,North Indian,Luxury Premium
7 Hills Andhra Mess,3.4,300.0,Indiranagar,Andhra,Budget-Friendly
7 Plates,3.5,600.0,Kammanahalli,North Indian,Luxury Premium
7 Shanghai,3.5,250.0,Electronic City,Chinese,Budget-Friendly
7 Spice,3.4,250.0,Kalyan Nagar,Biryani,Budget-Friendly
7 To 11 Food Court,3.7,200.0,Frazer Town,Fast Food,Budget-Friendly
70 Brigade - Iris Hotel,3.9,1000.0,Brigade Road,Chinese,Luxury Premium
7Biryanis,3.2,600.0,Kalyan Nagar,Andhra,Luxury Premium
7Th Heaven,3.6,300.0,New Bel Road,Bakery,Budget-Friendly
8 Slice,3.7,600.0,Brigade Road,Pizza,Luxury Premium
9 Bowls,2.8,500.0,Hsr,Healthy Food,Luxury Premium
90'S,2.8,200.0,Hsr,North Indian,Budget-Friendly
90'S Beer Cafe - Hotel Millennium Plaza,3.0,1000.0,Electronic City,Finger Food,Luxury Premium
90'S Cafe,2.8,500.0,Jayanagar,Fast Food,Luxury Premium
99 Caffe,3.6,250.0,Brookefield,South Indian,Budget-Friendly
99 Pancakes,4.1,150.0,Brigade Road,Desserts,Budget-Friendly
99 Variety Dosa & Pav Bhaji,3.8,250.0,Koramangala 5Th Block,South Indian,Budget-Friendly
99 Variety Dosa And Pav Bhaji,4.0,250.0,"Byresandra,Tavarekere,Madiwala",South Indian,Budget-Friendly
99 Variety Dose-Biryanis-Starters,2.8,300.0,Hsr,South Indian,Budget-Friendly
99Foods,3.4,400.0,Marathahalli,Biryani,Mid-Range
9D Foods,4.0,400.0,Brookefield,North Indian,Mid-Range
9Th Cross Cafe,3.6,550.0,Indiranagar,Cafe,Luxury Premium
A 1 Pizza And Food,2.8,300.0,Indiranagar,Pizza,Budget-Friendly
A Bar,3.3,600.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
A Hole Lotta Love Cafe,4.3,600.0,Koramangala 4Th Block,Cafe,Luxury Premium
A Little For Love,3.4,350.0,Kalyan Nagar,Bakery,Mid-Range
A M Biryani Hotel,3.3,300.0,Bannerghatta Road,North Indian,Budget-Friendly
A Southern Fair,3.0,750.0,Whitefield,Biryani,Luxury Premium
A Today Thick Shakes,3.2,200.0,Jayanagar,Beverages,Budget-Friendly
A.M New Punjab Food Corner,3.5,350.0,"Byresandra,Tavarekere,Madiwala",North Indian,Mid-Range
A1 Ambur Dum Biryani And Parota Centre,3.2,300.0,Rajajinagar,Biryani,Budget-Friendly
A1 Biriyani Point,3.0,200.0,Malleshwaram,Biryani,Budget-Friendly
A1 Garam Masala,3.6,500.0,Jp Nagar,North Indian,Luxury Premium
A1 Hot Dum Biryani,3.2,150.0,Whitefield,Biryani,Budget-Friendly
A1 Spice Inn,3.5,500.0,Malleshwaram,Biryani,Luxury Premium
A2B - Adyar Ananda Bhavan,2.5,400.0,Whitefield,South Indian,Mid-Range
A2B Veg - Adyar Ananda Bhavan,2.7,400.0,Basavanagudi,South Indian,Mid-Range
A3 Nuwang Kitchen,3.7,300.0,Indiranagar,Chinese,Budget-Friendly
Aaccord Restaurant,2.8,600.0,"Byresandra,Tavarekere,Madiwala",Continental,Luxury Premium
Aadhya Hotel,3.3,800.0,Banashankari,South Indian,Luxury Premium
Aadvik Nightfood,3.6,350.0,Frazer Town,Fast Food,Mid-Range
Aagaman Veg,2.8,900.0,Electronic City,North Indian,Luxury Premium
Aaha,3.6,300.0,Marathahalli,North Indian,Budget-Friendly
Aaha Andhra,3.4,900.0,Marathahalli,Andhra,Luxury Premium
Aahar Cafe,3.5,100.0,Basavanagudi,South Indian,Budget-Friendly
Aahar Vihar,4.0,250.0,Brookefield,North Indian,Budget-Friendly
Aahara Vihar,3.5,300.0,Malleshwaram,South Indian,Budget-Friendly
Aaharam,4.0,350.0,Hsr,Chinese,Mid-Range
Aalishan Restaurant & Caterer,3.5,650.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Aami Bangali,3.0,700.0,"Byresandra,Tavarekere,Madiwala",Bengali,Luxury Premium
Aami Kolkata,3.3,600.0,Bannerghatta Road,Bengali,Luxury Premium
Aao G Khao G,3.5,200.0,Hsr,North Indian,Budget-Friendly
Aapni Rasoi,3.2,400.0,Bellandur,North Indian,Mid-Range
Aaranya Restaurant,3.4,800.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Aarti Paratha & Rolls Corner,3.6,200.0,New Bel Road,North Indian,Budget-Friendly
Aarya Pork Hotel,3.3,300.0,"Byresandra,Tavarekere,Madiwala",South Indian,Budget-Friendly
Aashirvaad Restaurant,3.1,300.0,Brookefield,North Indian,Budget-Friendly
Aashish Foods,2.7,150.0,Brookefield,North Indian,Budget-Friendly
Aasife & Brothers Biriyani Centre,3.8,600.0,"Byresandra,Tavarekere,Madiwala",Biryani,Luxury Premium
Aastha Bengali Mess,3.9,250.0,Malleshwaram,Chinese,Budget-Friendly
Aata'S Kitchen,2.8,250.0,"Byresandra,Tavarekere,Madiwala",South Indian,Budget-Friendly
Aathithya,3.1,1100.0,Brigade Road,North Indian,Luxury Premium
Aathurar,3.2,600.0,Indiranagar,Chettinad,Luxury Premium
Abbabi Chicken,3.7,200.0,Sarjapur Road,Fast Food,Budget-Friendly
Abc Grand,3.5,400.0,Old Airport Road,Andhra,Mid-Range
Abhiruchi,3.8,650.0,Kalyan Nagar,Andhra,Luxury Premium
Abhiruchi Andhra Mess,3.1,300.0,Whitefield,Andhra,Budget-Friendly
Abhiruchi Hotel,3.2,500.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Abhiruchi Moonlight,3.3,300.0,"Byresandra,Tavarekere,Madiwala",North Indian,Budget-Friendly
Abhiruchi Restaurant,3.4,400.0,Bellandur,Andhra,Mid-Range
Ab'S - Absolute Barbecues,4.6,1400.0,Kalyan Nagar,European,Luxury Premium
Absolute Chinese,3.8,450.0,Malleshwaram,Chinese,Luxury Premium
Absolute Shawarma,2.8,150.0,Brookefield,Lebanese,Budget-Friendly
Absolute Waffles,3.9,200.0,Malleshwaram,Desserts,Budget-Friendly
Aburrahaman,2.8,400.0,Indiranagar,North Indian,Mid-Range
Abzain Paradise,2.9,300.0,New Bel Road,North Indian,Budget-Friendly
Achayyan'S,3.8,350.0,Indiranagar,Kerala,Mid-Range
Ackley Kitchen,3.6,500.0,Marathahalli,Fast Food,Luxury Premium
Adarsh Bakery,3.1,300.0,Electronic City,Bakery,Budget-Friendly
Adda,3.3,300.0,Basavanagudi,South Indian,Budget-Friendly
Addhuri Udupi Bhojana,3.7,300.0,Banashankari,South Indian,Budget-Friendly
Adiga'S,3.3,150.0,Basavanagudi,South Indian,Budget-Friendly
Adi'S Cake N Cafe,3.3,400.0,"Byresandra,Tavarekere,Madiwala",Bakery,Mid-Range
Adithya,3.9,450.0,Bannerghatta Road,South Indian,Luxury Premium
Adithya Family Restaurant,3.7,250.0,"Byresandra,Tavarekere,Madiwala",South Indian,Budget-Friendly
Adithya Tiffin Centre,2.8,200.0,Brigade Road,North Indian,Budget-Friendly
Adithya Veg,3.3,300.0,Basavanagudi,South Indian,Budget-Friendly
Aditya Delights,3.7,300.0,New Bel Road,Chinese,Budget-Friendly
Aditya Sweets,3.7,200.0,Brookefield,Mithai,Budget-Friendly
Aditya Uphar,3.5,200.0,Jp Nagar,South Indian,Budget-Friendly
Adukkala Restaurant,2.9,600.0,Kammanahalli,Kerala,Luxury Premium
Adupadi,2.9,450.0,Whitefield,South Indian,Luxury Premium
Advika Briyani Center,3.2,300.0,Jp Nagar,Biryani,Budget-Friendly
Adya Hotel,3.3,400.0,Electronic City,South Indian,Mid-Range
Adyar Anand Bhavan Sweets,2.8,200.0,Electronic City,South Indian,Budget-Friendly
Adyar Ananda Bhavan - Sweets,3.4,200.0,"Byresandra,Tavarekere,Madiwala",Mithai,Budget-Friendly
Adyar Ananda Bhavan Sweets,3.6,200.0,Jp Nagar,Mithai,Budget-Friendly
Afghani Tandoori Hub,3.6,400.0,"Byresandra,Tavarekere,Madiwala",Arabian,Mid-Range
Afoozoo - Ginger Hotel,3.5,800.0,Brookefield,North Indian,Luxury Premium
Afrina'S Kitchen,3.4,250.0,Frazer Town,Fast Food,Budget-Friendly
Agarwal Food Service,3.5,400.0,Hsr,North Indian,Mid-Range
Agent Jack'S Bar,4.0,1300.0,Kalyan Nagar,Continental,Luxury Premium
Agraharaa,2.8,150.0,Koramangala 4Th Block,South Indian,Budget-Friendly
Agraharam Meal,3.7,300.0,Marathahalli,North Indian,Budget-Friendly
Aha Juice Bar,3.6,200.0,Bannerghatta Road,Beverages,Budget-Friendly
Ahaan Restaurant,2.8,300.0,Frazer Town,North Indian,Budget-Friendly
Ahimsaamrit Green Cafe,3.4,800.0,Indiranagar,Healthy Food,Luxury Premium
Ahmad'S Chicken Hut,3.2,200.0,Kalyan Nagar,North Indian,Budget-Friendly
Ahmed'S Little Hut,2.8,250.0,Bannerghatta Road,Fast Food,Budget-Friendly
Ahmeds Takeaway Restaurant,2.8,250.0,Frazer Town,North Indian,Budget-Friendly
Aioli,4.2,1400.0,Kalyan Nagar,Mediterranean,Luxury Premium
Airlines Hotel,4.0,400.0,Brigade Road,South Indian,Mid-Range
Aisha Tharavad,3.5,400.0,Koramangala 6Th Block,South Indian,Mid-Range
Aishwarya,3.3,450.0,Whitefield,Chinese,Luxury Premium
Aishwarya Parkland,2.9,500.0,Bannerghatta Road,Chinese,Luxury Premium
Aishwarya Sweets,3.6,250.0,Malleshwaram,Mithai,Budget-Friendly
Aishwarya Uphar,2.8,150.0,Brigade Road,South Indian,Budget-Friendly
Ajwa Thalassery Biryani,3.9,500.0,Bellandur,Biryani,Luxury Premium
